character,keyword,reading,decomposition,spatial,ids,components_detail,tags
戬,carry to the utmost,jian3,promote / progress + halberd,⿰ (left-right),⿰晋戈,"<span style=""color:#1a5276"">晋</span> <span style=""color:#666"">promote / progress</span><br><span style=""color:#1a5276"">戈</span> <span style=""color:#666"">halberd</span>",SC::L1
蕖,water-lily,qu2,flower + canal,⿱ (top-bottom),⿱艹渠,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">渠</span> <span style=""color:#666"">canal</span>",SC::L1
蔻,used in 豆蔻[dou4 kou4],kou4,flower + outlaw,⿱ (top-bottom),⿱艹寇,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">寇</span> <span style=""color:#666"">outlaw</span>",SC::L1
蓿,lucerne,xu4,flower + stay overnight / inn,⿱ (top-bottom),⿱艹宿,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">宿</span> <span style=""color:#666"">stay overnight / inn</span>",SC::L1
鹕,pelican,hu2,recklessly / uncivilized + bird,⿰ (left-right),⿰胡鸟,"<span style=""color:#1a5276"">胡</span> <span style=""color:#666"">recklessly / uncivilized</span><br><span style=""color:#1a5276"">鸟</span> <span style=""color:#666"">bird</span>",SC::L1
蓼,polygonum,liao3,flower + kiddie cocktail,⿱ (top-bottom),⿱艹翏,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">翏</span> <span style=""color:#666"">kiddie cocktail</span>",SC::L1
榧,Torreya nucifera,fei3,tree + bandit,⿰ (left-right),⿰木匪,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">匪</span> <span style=""color:#666"">bandit</span>",SC::L1
榻,couch,ta4,tree,⿰ (left-right),⿰木𦐇,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span>",SC::L1
榫,tenon,sun3,tree + peregrine falcon,⿰ (left-right),⿰木隼,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">隼</span> <span style=""color:#666"">peregrine falcon</span>",SC::L1
榭,kiosk,xie4,tree + shoot,⿰ (left-right),⿰木射,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">射</span> <span style=""color:#666"">shoot</span>",SC::L1
槔,used in 桔槔[jie2 gao1],gao1,tree,⿰ (left-right),⿰木皋,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span>",SC::L1
榱,rafter (classical),cui1,tree + decline,⿰ (left-right),⿰木衰,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">衰</span> <span style=""color:#666"">decline</span>",SC::L1
槁,dried up,gao3,tree + tall,⿰ (left-right),⿰木高,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span>",SC::L1
槟,used in 檳子|槟子[bin1 zi5],bin1,tree + visitor,⿰ (left-right),⿰木宾,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">宾</span> <span style=""color:#666"">visitor</span>",SC::L1
槠,Quercus glanca,zhu1,tree + various,⿰ (left-right),⿰木诸,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">诸</span> <span style=""color:#666"">various</span>",SC::L1
榷,footbridge,que4,tree + a bird flying high ambition,⿰ (left-right),⿰木隺,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">隺</span> <span style=""color:#666"">a bird flying high ambition</span>",SC::L1
僰,name of an ethnic group,Bo2,thorn bushes / thornbush + person,⿱ (top-bottom),⿱棘人,"<span style=""color:#1a5276"">棘</span> <span style=""color:#666"">thorn bushes / thornbush</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span>",SC::L1
酽,"(of ink, aroma etc) thick",yan4,sign of the bird + strict,⿰ (left-right),⿰酉严,"<span style=""color:#1a5276"">酉</span> <span style=""color:#666"">sign of the bird</span><br><span style=""color:#1a5276"">严</span> <span style=""color:#666"">strict</span>",SC::L1
酶,enzyme,mei2,sign of the bird + every,⿰ (left-right),⿰酉每,"<span style=""color:#1a5276"">酉</span> <span style=""color:#666"">sign of the bird</span><br><span style=""color:#1a5276"">每</span> <span style=""color:#666"">every</span>",SC::L1
酹,pour out libation,lei4,sign of the bird,⿰ (left-right),⿰酉寽,"<span style=""color:#1a5276"">酉</span> <span style=""color:#666"">sign of the bird</span>",SC::L1
厮,each other,si1,factory + Sphinx / this,⿸ (top-left-wrap),⿸厂斯,"<span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span><br><span style=""color:#1a5276"">斯</span> <span style=""color:#666"">Sphinx / this</span>",SC::L1
碡,"stone roller (for threshing grain, leveling ground etc)",zhou2,stone + poison,⿰ (left-right),⿰石毒,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span><br><span style=""color:#1a5276"">毒</span> <span style=""color:#666"">poison</span>",SC::L1
碴,glass fragment,cha2,stone + investigate,⿰ (left-right),⿰石查,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span><br><span style=""color:#1a5276"">查</span> <span style=""color:#666"">investigate</span>",SC::L1
碣,stone tablet,jie2,stone + siesta,⿰ (left-right),⿰石曷,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span><br><span style=""color:#1a5276"">曷</span> <span style=""color:#666"">siesta</span>",SC::L1
碲,tellurium (chemistry),di4,stone + sovereign,⿰ (left-right),⿰石帝,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span><br><span style=""color:#1a5276"">帝</span> <span style=""color:#666"">sovereign</span>",SC::L1
磋,"to polish bones, horns, ivory etc into tools",cuo1,stone + fall short of / distinction,⿰ (left-right),⿰石差,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span><br><span style=""color:#1a5276"">差</span> <span style=""color:#666"">fall short of / distinction</span>",SC::L1
臧,surname Zang,Zang1,feudal official / retainer,⿵ (surround-open-bottom),⿵{61}臣,"<span style=""color:#1a5276"">臣</span> <span style=""color:#666"">feudal official / retainer</span>",SC::L1
豨,hog,xi1,sow + hope,⿰ (left-right),⿰豕希,"<span style=""color:#1a5276"">豕</span> <span style=""color:#666"">sow</span><br><span style=""color:#1a5276"">希</span> <span style=""color:#666"">hope</span>",SC::L1
殡,a funeral,bin4,malicious + visitor,⿰ (left-right),⿰歹宾,"<span style=""color:#1a5276"">歹</span> <span style=""color:#666"">malicious</span><br><span style=""color:#1a5276"">宾</span> <span style=""color:#666"">visitor</span>",SC::L1
霆,clap of thunder,ting2,rain + royal court / courts,⿱ (top-bottom),⿱雨廷,"<span style=""color:#1a5276"">雨</span> <span style=""color:#666"">rain</span><br><span style=""color:#1a5276"">廷</span> <span style=""color:#666"">royal court / courts</span>",SC::L1
霁,sky clearing up,ji4,rain + identical,⿱ (top-bottom),⿱雨齐,"<span style=""color:#1a5276"">雨</span> <span style=""color:#666"">rain</span><br><span style=""color:#1a5276"">齐</span> <span style=""color:#666"">identical</span>",SC::L1
辕,shaft of a cart or carriage,yuan2,car + Yuan,⿰ (left-right),⿰车袁,"<span style=""color:#1a5276"">车</span> <span style=""color:#666"">car</span><br><span style=""color:#1a5276"">袁</span> <span style=""color:#666"">Yuan</span>",SC::L1
蜚,gad-fly,fei3,non- / un- + insect,⿱ (top-bottom),⿱非虫,"<span style=""color:#1a5276"">非</span> <span style=""color:#666"">non- / un-</span><br><span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span>",SC::L1
裴,surname Pei,Pei2,non- / un- + clothing / garment,⿱ (top-bottom),⿱非衣,"<span style=""color:#1a5276"">非</span> <span style=""color:#666"">non- / un-</span><br><span style=""color:#1a5276"">衣</span> <span style=""color:#666"">clothing / garment</span>",SC::L1
翡,used in 翡翠[fei3 cui4],fei3,non- / un- + feathers,⿱ (top-bottom),⿱非羽,"<span style=""color:#1a5276"">非</span> <span style=""color:#666"">non- / un-</span><br><span style=""color:#1a5276"">羽</span> <span style=""color:#666"">feathers</span>",SC::L1
龇,projecting teeth,zi1,teeth + this (literary) / this here,⿰ (left-right),⿰齿此,"<span style=""color:#1a5276"">齿</span> <span style=""color:#666"">teeth</span><br><span style=""color:#1a5276"">此</span> <span style=""color:#666"">this (literary) / this here</span>",SC::L1
龈,gums (of the teeth),ken3,teeth + silver,⿰ (left-right),⿰齿艮,"<span style=""color:#1a5276"">齿</span> <span style=""color:#666"">teeth</span><br><span style=""color:#1a5276"">艮</span> <span style=""color:#666"">silver</span>",SC::L1
睿,astute,rui4,one + eight,⿳ (top-mid-bottom),⿳{37}一⿱八𥃦,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span><br><span style=""color:#1a5276"">八</span> <span style=""color:#666"">eight</span>",SC::L1
䁖,to glance at,lou1,eye + bride,⿰ (left-right),⿰目娄,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span><br><span style=""color:#1a5276"">娄</span> <span style=""color:#666"">bride</span>",SC::L1
睽,to squint,kui2,eye + tenth of the ten Heavenly Stems 十天干[shi2 tian1 gan1],⿰ (left-right),⿰目癸,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span><br><span style=""color:#1a5276"">癸</span> <span style=""color:#666"">tenth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]</span>",SC::L1
嘞,"sentence-final particle similar to 了[le5], but carrying a tone of approval",lei5,mouth + tighten,⿰ (left-right),⿰口勒,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">勒</span> <span style=""color:#666"">tighten</span>",SC::L1
嘈,tumultuous,cao2,mouth + Cao / cadet,⿰ (left-right),⿰口曹,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">曹</span> <span style=""color:#666"">Cao / cadet</span>",SC::L1
嘌,fast,piao4,mouth + ticket / ballot,⿰ (left-right),⿰口票,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">票</span> <span style=""color:#666"">ticket / ballot</span>",SC::L1
嘁,whispering sound,qi1,mouth + kin / relatives,⿰ (left-right),⿰口戚,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">戚</span> <span style=""color:#666"">kin / relatives</span>",SC::L1
暧,clandestine,ai4,day + love,⿰ (left-right),⿰日爱,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span><br><span style=""color:#1a5276"">爱</span> <span style=""color:#666"">love</span>",SC::L1
踌,used in 躊躇|踌躇[chou2 chu2],chou2,longevity,⿰ (left-right),⿰𧾷寿,"<span style=""color:#1a5276"">寿</span> <span style=""color:#666"">longevity</span>",SC::L1
踉,used in 跳踉[tiao4 liang2],liang2,high-quality / good,⿰ (left-right),⿰𧾷良,"<span style=""color:#1a5276"">良</span> <span style=""color:#666"">high-quality / good</span>",SC::L1
蜞,used in 蟛蜞[peng2 qi2],qi2,insect + his-hers-its-theirs,⿰ (left-right),⿰虫其,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">其</span> <span style=""color:#666"">his-hers-its-theirs</span>",SC::L1
蜥,lizard,xi1,insect + analyze / chop,⿰ (left-right),⿰虫析,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">析</span> <span style=""color:#666"">analyze / chop</span>",SC::L1
蜮,creature that lives underwater and spits sand to make people ill,yu4,insect + or / a,⿰ (left-right),⿰虫或,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">或</span> <span style=""color:#666"">or / a</span>",SC::L1
蝈,"small green cicada or frog (meaning unclear, possibly onom.)",guo1,insect + country,⿰ (left-right),⿰虫国,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">国</span> <span style=""color:#666"">country</span>",SC::L1
蜴,used in 蜥蜴[xi1 yi4],yi4,insect + easy,⿰ (left-right),⿰虫易,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">易</span> <span style=""color:#666"">easy</span>",SC::L1
蜱,tick (zoology),pi2,insect + lowly,⿰ (left-right),⿰虫卑,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">卑</span> <span style=""color:#666"">lowly</span>",SC::L1
蜩,broad locust,tiao2,insect + circumference,⿰ (left-right),⿰虫周,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">周</span> <span style=""color:#666"">circumference</span>",SC::L1
蜷,to curl up (like a scroll),quan2,insect + exam paper,⿰ (left-right),⿰虫卷,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">卷</span> <span style=""color:#666"">exam paper</span>",SC::L1
蜿,used in 蜿蜒[wan1 yan2],wan1,insect + winding / address,⿰ (left-right),⿰虫宛,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">宛</span> <span style=""color:#666"">winding / address</span>",SC::L1
螂,used in 螞螂|蚂螂[ma1 lang2],lang2,insect + young man / son,⿰ (left-right),⿰虫郎,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">郎</span> <span style=""color:#666"">young man / son</span>",SC::L1
蜢,grasshopper (2),meng3,insect + Mencius / start,⿰ (left-right),⿰虫孟,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">孟</span> <span style=""color:#666"">Mencius / start</span>",SC::L1
嘡,bong,tang1,mouth + main room / public chamber,⿰ (left-right),⿰口堂,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">堂</span> <span style=""color:#666"">main room / public chamber</span>",SC::L1
鹗,osprey (Pandion haliaetus),e4,beat a drum + bird,⿰ (left-right),⿰咢鸟,"<span style=""color:#1a5276"">咢</span> <span style=""color:#666"">beat a drum</span><br><span style=""color:#1a5276"">鸟</span> <span style=""color:#666"">bird</span>",SC::L1
嘣,boom,beng1,mouth + crumble,⿰ (left-right),⿰口崩,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">崩</span> <span style=""color:#666"">crumble</span>",SC::L1
嘤,calling of birds,ying1,mouth + baby,⿰ (left-right),⿰口婴,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">婴</span> <span style=""color:#666"">baby</span>",SC::L1
嘚,for the sound of horsehoofs,de1,mouth + must / gain,⿰ (left-right),⿰口得,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">得</span> <span style=""color:#666"">must / gain</span>",SC::L1
嗾,to urge on,sou3,mouth + tribe,⿰ (left-right),⿰口族,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">族</span> <span style=""color:#666"">tribe</span>",SC::L1
嘧,as in pyrimidine,mi4,mouth + secret / secrecy,⿰ (left-right),⿰口密,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">密</span> <span style=""color:#666"">secret / secrecy</span>",SC::L1
罴,brown bear,pi2,cease,⿱ (top-bottom),⿱罢灬,"<span style=""color:#1a5276"">罢</span> <span style=""color:#666"">cease</span>",SC::L1
罱,"a kind of tool used to dredge up fish, water plants or river mud, consisting of a net attached to a pair of bamboo poles, which are used to open and close the net",lan3,south,⿱ (top-bottom),⿱罒南,"<span style=""color:#1a5276"">南</span> <span style=""color:#666"">south</span>",SC::L1
幔,curtain (2),man4,towel + drawn out / mandala,⿰ (left-right),⿰巾曼,"<span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span><br><span style=""color:#1a5276"">曼</span> <span style=""color:#666"">drawn out / mandala</span>",SC::L1
嶂,cliff,zhang4,mountain + chapter / badge,⿰ (left-right),⿰山章,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">章</span> <span style=""color:#666"">chapter / badge</span>",SC::L1
幛,hanging scroll,zhang4,towel + chapter / badge,⿰ (left-right),⿰巾章,"<span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span><br><span style=""color:#1a5276"">章</span> <span style=""color:#666"">chapter / badge</span>",SC::L1
赙,to contribute to funeral expenses,fu4,shellfish + gummed label,⿰ (left-right),⿰贝尃,"<span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span><br><span style=""color:#1a5276"">尃</span> <span style=""color:#666"">gummed label</span>",SC::L1
罂,earthen jar with small mouth,ying1,tin can,⿱ (top-bottom),⿱𲂻缶,"<span style=""color:#1a5276"">缶</span> <span style=""color:#666"">tin can</span>",SC::L1
骷,used in 骷髏|骷髅[ku1 lou2],ku1,skeleton + ancient / old,⿰ (left-right),⿰骨古,"<span style=""color:#1a5276"">骨</span> <span style=""color:#666"">skeleton</span><br><span style=""color:#1a5276"">古</span> <span style=""color:#666"">ancient / old</span>",SC::L1
骶,sacrum,di3,skeleton + calling card,⿰ (left-right),⿰骨氐,"<span style=""color:#1a5276"">骨</span> <span style=""color:#666"">skeleton</span><br><span style=""color:#1a5276"">氐</span> <span style=""color:#666"">calling card</span>",SC::L1
鹘,used in 鶻鵃|鹘鸼[gu3 zhou1],gu3,skeleton + bird,⿰ (left-right),⿰骨鸟,"<span style=""color:#1a5276"">骨</span> <span style=""color:#666"">skeleton</span><br><span style=""color:#1a5276"">鸟</span> <span style=""color:#666"">bird</span>",SC::L1
锲,to cut,qie4,contract / pledge,⿰ (left-right),⿰钅契,"<span style=""color:#1a5276"">契</span> <span style=""color:#666"">contract / pledge</span>",SC::L1
锴,high quality iron,kai3,all,⿰ (left-right),⿰钅皆,"<span style=""color:#1a5276"">皆</span> <span style=""color:#666"">all</span>",SC::L1
锶,strontium (chemistry),si1,consider / think,⿰ (left-right),⿰钅思,"<span style=""color:#1a5276"">思</span> <span style=""color:#666"">consider / think</span>",SC::L1
锷,blade edge,e4,beat a drum,⿰ (left-right),⿰钅咢,"<span style=""color:#1a5276"">咢</span> <span style=""color:#666"">beat a drum</span>",SC::L1
锸,marking pin,cha1,to separate the grain from the husk,⿰ (left-right),⿰钅臿,"<span style=""color:#1a5276"">臿</span> <span style=""color:#666"">to separate the grain from the husk</span>",SC::L1
锵,tinkling of small bells,qiang1,General / leader,⿰ (left-right),⿰钅将,"<span style=""color:#1a5276"">将</span> <span style=""color:#666"">General / leader</span>",SC::L1
镁,magnesium (chemistry),mei3,beautiful / beauty,⿰ (left-right),⿰钅美,"<span style=""color:#1a5276"">美</span> <span style=""color:#666"">beautiful / beauty</span>",SC::L1
镂,to engrave,lou4,bride,⿰ (left-right),⿰钅娄,"<span style=""color:#1a5276"">娄</span> <span style=""color:#666"">bride</span>",SC::L1
犒,"to reward or comfort with presents of food, drink etc",kao4,tall,⿰ (left-right),⿰牜高,"<span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span>",SC::L1
箐,to draw a bamboo bow or crossbow,qing4,blue or green,⿱ (top-bottom),⿱𥫗青,"<span style=""color:#1a5276"">青</span> <span style=""color:#666"">blue or green</span>",SC::L1
箦,reed mat,ze2,responsibility,⿱ (top-bottom),⿱𥫗责,"<span style=""color:#1a5276"">责</span> <span style=""color:#666"">responsibility</span>",SC::L1
箧,suitcase,qie4,box + press from both sides,⿱ (top-bottom),⿱𥫗⿷匚夹,"<span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span><br><span style=""color:#1a5276"">夹</span> <span style=""color:#666"">press from both sides</span>",SC::L1
箍,hoop,gu1,,⿱ (top-bottom),⿱𥫗㧜,,SC::L1
箬,the cuticle of the bamboo a broad-leaved bamboo,ruo4,as if / young,⿱ (top-bottom),⿱𥫗若,"<span style=""color:#1a5276"">若</span> <span style=""color:#666"">as if / young</span>",SC::L1
箅,bamboo grid for steaming food,bi4,to confer on,⿱ (top-bottom),⿱𥫗畀,"<span style=""color:#1a5276"">畀</span> <span style=""color:#666"">to confer on</span>",SC::L1
箜,used in 箜篌[kong1 hou2],kong1,empty,⿱ (top-bottom),⿱𥫗空,"<span style=""color:#1a5276"">空</span> <span style=""color:#666"">empty</span>",SC::L1
箢,used in 箢箕[yuan1 ji1] and 箢篼[yuan1 dou1],yuan1,winding / address,⿱ (top-bottom),⿱𥫗宛,"<span style=""color:#1a5276"">宛</span> <span style=""color:#666"">winding / address</span>",SC::L1
箓,record book,lu4,record,⿱ (top-bottom),⿱𥫗录,"<span style=""color:#1a5276"">录</span> <span style=""color:#666"">record</span>",SC::L1
毓,to produce,yu4,every + baby Moses,⿰ (left-right),⿰每㐬,"<span style=""color:#1a5276"">每</span> <span style=""color:#666"">every</span><br><span style=""color:#1a5276"">㐬</span> <span style=""color:#666"">baby Moses</span>",SC::L1
僖,merry,Xi1,joyful / rejoice,⿰ (left-right),⿰亻喜,"<span style=""color:#1a5276"">喜</span> <span style=""color:#666"">joyful / rejoice</span>",SC::L1
儆,to warn,jing3,revere / awe,⿰ (left-right),⿰亻敬,"<span style=""color:#1a5276"">敬</span> <span style=""color:#666"">revere / awe</span>",SC::L1
僳,Lisu ethnic group of Yunnan,Su4,foxtail millet,⿰ (left-right),⿰亻粟,"<span style=""color:#1a5276"">粟</span> <span style=""color:#666"">foxtail millet</span>",SC::L1
僭,to overstep one's authority,jian4,if,⿰ (left-right),⿰亻朁,"<span style=""color:#1a5276"">朁</span> <span style=""color:#666"">if</span>",SC::L1
劁,to neuter livestock,qiao1,apprehensive / char,⿰ (left-right),⿰焦刂,"<span style=""color:#1a5276"">焦</span> <span style=""color:#666"">apprehensive / char</span>",SC::L1
僮,"old variant of 壯|壮, Zhuang ethnic group of Guangxi",Zhuang4,juvenile,⿰ (left-right),⿰亻童,"<span style=""color:#1a5276"">童</span> <span style=""color:#666"">juvenile</span>",SC::L1
魃,drought demon,ba2,ghost + seeing-eye chihuahua,⿺ (bottom-left-wrap),⿺鬼犮,"<span style=""color:#1a5276"">鬼</span> <span style=""color:#666"">ghost</span><br><span style=""color:#1a5276"">犮</span> <span style=""color:#666"">seeing-eye chihuahua</span>",SC::L1
魆,dark,xu1,ghost + a battle-axe,⿺ (bottom-left-wrap),⿺鬼戉,"<span style=""color:#1a5276"">鬼</span> <span style=""color:#666"">ghost</span><br><span style=""color:#1a5276"">戉</span> <span style=""color:#666"">a battle-axe</span>",SC::L1
艋,small boat,meng3,boat + Mencius / start,⿰ (left-right),⿰舟孟,"<span style=""color:#1a5276"">舟</span> <span style=""color:#666"">boat</span><br><span style=""color:#1a5276"">孟</span> <span style=""color:#666"">Mencius / start</span>",SC::L1
鄱,name of a lake,po2,try / turn + pinnacle,⿰ (left-right),⿰番阝,"<span style=""color:#1a5276"">番</span> <span style=""color:#666"">try / turn</span><br><span style=""color:#1a5276"">阝</span> <span style=""color:#666"">pinnacle</span>",SC::L1
膈,diaphragm (anatomy),ge2,month + cauldron,⿰ (left-right),⿰月鬲,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span><br><span style=""color:#1a5276"">鬲</span> <span style=""color:#666"">cauldron</span>",SC::L1
膑,the kneecap,bin4,month + visitor,⿰ (left-right),⿰月宾,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span><br><span style=""color:#1a5276"">宾</span> <span style=""color:#666"">visitor</span>",SC::L1
鲑,Spheroides vermicularis,gui1,fish + squared jewel,⿰ (left-right),⿰鱼圭,"<span style=""color:#1a5276"">鱼</span> <span style=""color:#666"">fish</span><br><span style=""color:#1a5276"">圭</span> <span style=""color:#666"">squared jewel</span>",SC::L1
鲔,little tuna,wei3,fish + possess,⿰ (left-right),⿰鱼有,"<span style=""color:#1a5276"">鱼</span> <span style=""color:#666"">fish</span><br><span style=""color:#1a5276"">有</span> <span style=""color:#666"">possess</span>",SC::L1
鲚,Coilia nasus,ji4,fish + identical,⿰ (left-right),⿰鱼齐,"<span style=""color:#1a5276"">鱼</span> <span style=""color:#666"">fish</span><br><span style=""color:#1a5276"">齐</span> <span style=""color:#666"">identical</span>",SC::L1
鲛,shark (3),jiao1,fish + mingle,⿰ (left-right),⿰鱼交,"<span style=""color:#1a5276"">鱼</span> <span style=""color:#666"">fish</span><br><span style=""color:#1a5276"">交</span> <span style=""color:#666"">mingle</span>",SC::L1
鲟,sturgeon,xun2,fish + seek,⿰ (left-right),⿰鱼寻,"<span style=""color:#1a5276"">鱼</span> <span style=""color:#666"">fish</span><br><span style=""color:#1a5276"">寻</span> <span style=""color:#666"">seek</span>",SC::L1
獐,river deer,zhang1,chapter / badge,⿰ (left-right),⿰犭章,"<span style=""color:#1a5276"">章</span> <span style=""color:#666"">chapter / badge</span>",SC::L1
觫,used in 觳觫[hu2 su4],su4,angle + bundle up,⿰ (left-right),⿰角束,"<span style=""color:#1a5276"">角</span> <span style=""color:#666"">angle</span><br><span style=""color:#1a5276"">束</span> <span style=""color:#666"">bundle up</span>",SC::L1
雒,black horse with white mane,luo4,each + turkey,⿰ (left-right),⿰各隹,"<span style=""color:#1a5276"">各</span> <span style=""color:#666"">each</span><br><span style=""color:#1a5276"">隹</span> <span style=""color:#666"">turkey</span>",SC::L1
夤,late at night,yin2,evening + sign of the tiger,⿱ (top-bottom),⿱夕寅,"<span style=""color:#1a5276"">夕</span> <span style=""color:#666"">evening</span><br><span style=""color:#1a5276"">寅</span> <span style=""color:#666"">sign of the tiger</span>",SC::L1
馑,time of famine or crop failure,jin3,violet,⿰ (left-right),⿰饣堇,"<span style=""color:#1a5276"">堇</span> <span style=""color:#666"">violet</span>",SC::L1
銮,imperial,luan2,gold,⿱ (top-bottom),⿱𰁜金,"<span style=""color:#1a5276"">金</span> <span style=""color:#666"">gold</span>",SC::L1
麽,tiny,mo2,hemp + (suffix),⿸ (top-left-wrap),⿸麻么,"<span style=""color:#1a5276"">麻</span> <span style=""color:#666"">hemp</span><br><span style=""color:#1a5276"">么</span> <span style=""color:#666"">(suffix)</span>",SC::L1
瘌,scald-head,la4,sickness + perverse,⿸ (top-left-wrap),⿸疒剌,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">剌</span> <span style=""color:#666"">perverse</span>",SC::L1
瘊,wart,hou2,sickness + marquis,⿸ (top-left-wrap),⿸疒侯,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">侯</span> <span style=""color:#666"">marquis</span>",SC::L1
瘘,fistula,lou4,sickness + bride,⿸ (top-left-wrap),⿸疒娄,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">娄</span> <span style=""color:#666"">bride</span>",SC::L1
瘙,old term for scabies,sao4,sickness + flea,⿸ (top-left-wrap),⿸疒蚤,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">蚤</span> <span style=""color:#666"">flea</span>",SC::L1
廖,surname Liao,Liao4,extensive + kiddie cocktail,⿸ (top-left-wrap),⿸广翏,"<span style=""color:#1a5276"">广</span> <span style=""color:#666"">extensive</span><br><span style=""color:#1a5276"">翏</span> <span style=""color:#666"">kiddie cocktail</span>",SC::L1
